Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade,Online Classes Taken,PerformanceLevel,Gender_enc,ParentalSupport_enc,OnlineClasses_enc,StudentID,Name,PredictedLevel
Male,73.9,17.3,89.4,1.0,Low,82.2,False,Average,1,0,0,529.0,Sofia Smith,Average
Male,78.5,16.0,85.5,0.0,High,81.0,True,Average,1,2,1,915.0,Harper Martinez,High
Male,81.8,19.1,68.2,1.0,Medium,81.4,False,Average,1,1,0,588.0,Alex Williams,Average
Male,81.8,11.8,63.5,1.0,High,80.0,True,Average,1,2,1,32.0,Liam Garcia,Average
Female,85.2,23.4,69.9,1.0,High,81.4,False,Average,0,2,0,137.0,Ethan Harris,Average
Female,89.3,7.5,87.0,1.0,Low,71.1,False,Average,0,0,0,731.0,,Average
Male,71.7,20.5,79.8,1.0,Medium,88.2,True,High,1,1,1,299.0,Ava Jackson,High
Male,84.9,20.3,68.6,3.0,High,95.0,True,High,1,2,1,947.0,Charlotte Jones,High
Male,85.9,14.0,70.1,1.0,Medium,82.0,False,Average,1,1,0,399.0,Ava Smith,Average
Female,63.9,13.2,83.6,2.0,Medium,71.0,True,Average,0,1,1,598.0,Emily Harris,Average
Female,97.8,3.9,73.4,1.0,High,75.6,True,Average,0,2,1,952.0,Sophia Perez,Average
Female,81.1,11.9,62.5,1.0,High,89.9,False,High,0,2,0,,Noah Moore,High
Female,63.5,22.6,57.3,1.0,High,69.2,True,Low,0,2,1,335.0,Mia Martin,Low
Male,88.6,13.5,83.2,0.0,Medium,73.2,False,Average,1,1,0,553.0,Jackson Jackson,Average
Male,70.1,13.9,62.7,3.0,Medium,65.2,False,Low,1,1,0,895.0,Matthew Jones,Low
Male,84.1,11.1,74.5,0.0,Medium,71.4,True,Average,1,1,1,650.0,Elizabeth Lewis,Average
Male,90.7,24.0,81.6,0.0,Medium,82.0,True,Average,1,1,1,637.0,Noah Jones,Average
Male,99.1,19.8,72.6,1.0,High,88.8,False,High,1,2,0,297.0,Elizabeth Davis,High
Male,79.9,15.8,79.1,1.0,Medium,79.8,False,Average,1,1,0,808.0,Michael Moore,Average
Male,78.3,16.4,78.8,0.0,Medium,83.0,False,Average,1,1,0,409.0,David Smith,Average
Female,91.8,20.9,69.4,1.0,Medium,85.0,True,High,0,1,1,942.0,Benjamin Davis,High
Male,100.0,10.7,74.6,1.0,High,79.7,False,Average,1,2,0,583.0,Michael Jackson,Average
Male,62.7,5.7,82.9,2.0,Medium,78.8,False,Average,1,1,0,60.0,Daniel Martinez,Average
Female,85.8,16.2,89.7,1.0,Medium,82.5,True,Average,0,1,1,169.0,James Allen,Average
Male,86.8,11.1,76.1,1.0,Low,68.0,False,Low,1,0,0,395.0,Abigail Miller,Low
Female,91.4,17.5,66.0,0.0,Low,68.4,True,Low,0,0,1,784.0,Michael Young,Average
Female,88.0,22.6,100.0,1.0,Medium,96.2,False,High,0,1,0,744.0,Ava Smith,High
Male,71.3,22.2,91.8,2.0,Medium,90.5,False,High,1,1,0,140.0,Mia Martin,High
Female,84.7,30.8,67.2,2.0,Low,91.8,False,High,0,0,0,603.0,Matthew Ramirez,High
Male,84.4,17.3,81.3,1.0,High,78.5,True,Average,1,2,1,245.0,Ethan Robinson,Average
Male,87.6,18.0,67.3,1.0,Low,72.3,False,Average,1,0,0,661.0,Olivia Perez,Average
Female,82.9,23.6,71.3,0.0,Medium,76.9,False,Average,0,1,0,482.0,Jackson Smith,Average
