StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade,Study Hours,Attendance (%),Online Classes Taken
529.0,Sofia Smith,Male,73.9,17.3,89.4,1.0,Low,82.2,2.6,44.5,False
915.0,Harper Martinez,male,78.5,16.0,85.5,0.0,High,81.0,4.0,88.7,True
588.0,Alex Williams,Male,,19.1,68.2,1.0,Medium,81.4,1.4,88.2,False
32.0,Liam Garcia,Male,81.8,11.8,63.5,1.0,High,80.0,-8.0,74.5,True
137.0,Ethan Harris,Female,85.2,23.4,69.9,1.0,HIGH,81.4,4.1,80.5,False
731.0,,Female,89.3,7.5,87.0,1.0,Low,71.1,-0.3,98.7,False
299.0,Ava Jackson,Male,71.7,20.5,79.8,1.0,Medium,88.2,4.1,63.2,True
947.0,Charlotte Jones,,84.9,20.3,68.6,3.0,high,95.0,1.3,82.1,True
399.0,Ava Smith,male,85.9,14.0,70.1,1.0,medium,82.0,-7.4,122.8,False
598.0,Emily Harris,FEMALE,63.9,13.2,83.6,2.0,Medium,71.0,2.8,90.1,True
952.0,Sophia Perez,Female,97.8,3.9,73.4,1.0,High,75.6,3.0,148.8,True
,Noah Moore,Female,81.1,11.9,62.5,1.0,High,89.9,2.0,45.1,False
335.0,Mia Martin,female,63.5,22.6,57.3,1.0,high,69.2,3.6,135.2,True
553.0,Jackson Jackson,Male,88.6,13.5,83.2,0.0,Medium,73.2,1.7,52.0,False
895.0,Matthew Jones,Male,70.1,13.9,62.7,3.0,Medium,65.2,3.4,66.4,False
650.0,Elizabeth Lewis,Male,84.1,11.1,,0.0,MEDIUM,71.4,3.2,70.8,True
637.0,Noah Jones,male,90.7,24.0,81.6,0.0,Medium,82.0,3.3,81.9,True
297.0,Elizabeth Davis,Male,99.1,19.8,72.6,1.0,high,88.8,6.3,83.1,False
808.0,Michael Moore,Male,79.9,15.8,79.1,1.0,Medium,79.8,2.2,94.5,False
409.0,David Smith,Male,78.3,16.4,78.8,0.0,Medium,83.0,2.3,105.5,False
